page_id,doc_id,confidence,notes,duplicate_of
dolil_98,deed_p0098,unreviewed,"scattered-line, both hypotheses (one deed / +11 blocks) tested and rejected",
dolil_99,deed_p0099,unreviewed,"scattered-line, both hypotheses (one deed / +11 blocks) tested and rejected",
dolil_100,deed_p0100,manual,,
dolil_101,deed_p0100,manual,,
dolil_102,deed_p0102,unreviewed,skipped during manual pass (1-252),
dolil_103,deed_p0103,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down",
dolil_104,deed_p0103,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down",
dolil_105,deed_p0103,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down",
dolil_106,deed_p0103,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down",
dolil_107,deed_p0103,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down",
dolil_108,deed_p0103,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down",
dolil_109,deed_p0103,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down",
dolil_110,deed_p0103,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down",
dolil_111,deed_p0103,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down",
dolil_112,deed_p0103,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down",
dolil_113,deed_p0113,manual,,
dolil_114,deed_p0114,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down; reviewer noted rotation",
dolil_115,deed_p0114,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down; reviewer noted rotation",
dolil_116,deed_p0114,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down; reviewer noted rotation",
dolil_117,deed_p0114,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down; reviewer noted rotation",
dolil_118,deed_p0114,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down; reviewer noted rotation",
dolil_119,deed_p0114,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down; reviewer noted rotation",
dolil_120,deed_p0114,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down; reviewer noted rotation",
dolil_121,deed_p0114,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down; reviewer noted rotation",
dolil_122,deed_p0114,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down; reviewer noted rotation",
dolil_123,deed_p0114,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down; reviewer noted rotation",
dolil_124,deed_p0124,unreviewed,skipped during manual pass (1-252),
dolil_125,deed_p0114,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down; reviewer noted rotation",
dolil_126,deed_p0114,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down; reviewer noted rotation",
dolil_127,deed_p0114,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down; reviewer noted rotation",
dolil_128,deed_p0114,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down; reviewer noted rotation",
dolil_129,deed_p0114,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down; reviewer noted rotation",
dolil_130,deed_p0114,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down; reviewer noted rotation",
dolil_131,deed_p0114,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down; reviewer noted rotation",
dolil_132,deed_p0132,manual,,
dolil_133,deed_p0132,manual,,
dolil_134,deed_p0132,manual,,
dolil_135,deed_p0135,unreviewed,skipped during manual pass (1-252),
dolil_136,deed_p0132,manual,,
dolil_137,deed_p0132,manual,,
dolil_138,deed_p0138,unreviewed,skipped during manual pass (1-252),
dolil_139,deed_p0139,manual,,
dolil_140,deed_p0139,manual,,
dolil_141,deed_p0139,manual,,
dolil_142,deed_p0139,manual,,
dolil_143,deed_p0139,manual,,
dolil_144,deed_p0144,manual,,
dolil_145,deed_p0144,manual,,
dolil_146,deed_p0146,unreviewed,skipped during manual pass (1-252),
dolil_147,deed_p0144,manual,,
dolil_148,deed_p0144,manual,,
dolil_149,deed_p0144,manual,,
dolil_150,deed_p0144,manual,,
dolil_151,deed_p0151,manual,,
dolil_152,deed_p0151,manual,,
dolil_153,deed_p0151,manual,,
dolil_154,deed_p0151,manual,,
dolil_155,deed_p0151,manual,,
dolil_156,deed_p0151,manual,,
dolil_157,deed_p0157,unreviewed,skipped during manual pass (1-252),
dolil_158,deed_p0151,manual,,
dolil_159,deed_p0151,manual,,
dolil_160,deed_p0151,manual,,
dolil_161,deed_p0151,manual,,
dolil_162,deed_p0151,manual,,
dolil_163,deed_p0151,manual,,
dolil_164,deed_p0151,manual,,
dolil_165,deed_p0165,manual,,
dolil_166,deed_p0165,manual,,
dolil_167,deed_p0165,manual,,
dolil_168,deed_p0168,unreviewed,skipped during manual pass (1-252),
dolil_169,deed_p0169,manual,,
dolil_170,deed_p0169,manual,,
dolil_171,deed_p0169,manual,,
dolil_172,deed_p0169,manual,,
dolil_173,deed_p0173,manual,,
dolil_174,deed_p0173,manual,,
dolil_175,deed_p0173,manual,,
dolil_176,deed_p0173,manual,,
dolil_177,deed_p0173,manual,,
dolil_178,deed_p0173,manual,,
dolil_179,deed_p0179,unreviewed,skipped during manual pass (1-252),
dolil_180,deed_p0173,manual,,
dolil_181,deed_p0181,manual,,
dolil_182,deed_p0181,manual,,
dolil_183,deed_p0181,manual,,
dolil_184,deed_p0181,manual,,
dolil_185,deed_p0185,manual,,
dolil_186,deed_p0186,manual,,
dolil_187,deed_p0186,manual,,
dolil_188,deed_p0186,manual,,
dolil_189,deed_p0186,manual,,
dolil_190,deed_p0190,manual,,
dolil_191,deed_p0191,manual,,
dolil_192,deed_p0192,manual,,
dolil_193,deed_p0192,manual,,
dolil_194,deed_p0194,manual,,
dolil_195,deed_p0194,manual,,
dolil_196,deed_p0196,manual,,
dolil_197,deed_p0196,manual,,
dolil_198,deed_p0198,manual,,
dolil_199,deed_p0198,manual,,
dolil_200,deed_p0200,manual,,
dolil_201,deed_p0200,manual,,
dolil_202,deed_p0202,manual,,
dolil_203,deed_p0203,manual,,
dolil_204,deed_p0203,manual,,
dolil_205,deed_p0203,manual,,
dolil_206,deed_p0203,manual,,
dolil_207,deed_p0203,manual,,
dolil_208,deed_p0203,manual,,
dolil_209,deed_p0203,manual,,
dolil_210,deed_p0203,manual,,
dolil_211,deed_p0211,manual,,
dolil_212,deed_p0211,manual,,
dolil_213,deed_p0213,manual,,
dolil_214,deed_p0211,manual,,
dolil_215,deed_p0211,manual,,
dolil_216,deed_p0211,manual,,
dolil_217,deed_p0211,manual,,
dolil_218,deed_p0213,manual,,
dolil_219,deed_p0219,manual,,
dolil_220,deed_p0220,manual,,
dolil_221,deed_p0220,manual,,
dolil_222,deed_p0220,manual,,
dolil_223,deed_p0220,manual,,
dolil_224,deed_p0220,manual,,
dolil_225,deed_p0225,manual,,
dolil_226,deed_p0226,manual,,
dolil_227,deed_p0226,manual,,
dolil_228,deed_p0226,manual,,
dolil_229,deed_p0226,manual,,
dolil_230,deed_p0226,manual,,
dolil_231,deed_p0231,manual,,
dolil_232,deed_p0231,manual,,
dolil_233,deed_p0231,manual,,
dolil_234,deed_p0231,manual,,
dolil_235,deed_p0231,manual,,
dolil_236,deed_p0236,unreviewed,skipped during manual pass (1-252),
dolil_237,deed_p0237,unreviewed,skipped during manual pass (1-252),
dolil_238,deed_p0238,manual,,
dolil_239,deed_p0238,manual,,
dolil_240,deed_p0238,manual,,
dolil_241,deed_p0238,manual,,
dolil_242,deed_p0242,unreviewed,skipped during manual pass (1-252),
dolil_243,deed_p0243,unreviewed,skipped during manual pass (1-252),
dolil_244,deed_p0244,manual,,
dolil_245,deed_p0244,manual,,
dolil_246,deed_p0244,manual,,
dolil_247,deed_p0247,unreviewed,skipped during manual pass (1-252),
dolil_248,deed_p0244,manual,,
dolil_249,deed_p0244,manual,,
dolil_250,deed_p0250,manual,,
dolil_251,deed_p0250,manual,,
dolil_252,deed_p0250,manual,,
dolil_253,deed_p0253,unreviewed,beyond manual pass,
dolil_254,deed_p0254,unreviewed,beyond manual pass,
dolil_255,deed_p0255,unreviewed,beyond manual pass,
dolil_256,deed_p0256,unreviewed,beyond manual pass,
dolil_257,deed_p0257,unreviewed,beyond manual pass,
dolil_258,deed_p0258,unreviewed,beyond manual pass,
dolil_259,deed_p0259,unreviewed,beyond manual pass,
dolil_260,deed_p0260,unreviewed,beyond manual pass,
dolil_261,deed_p0261,unreviewed,beyond manual pass,
dolil_262,deed_p0262,unreviewed,beyond manual pass,
dolil_263,deed_p0263,unreviewed,beyond manual pass,
dolil_264,deed_p0264,unreviewed,beyond manual pass,
dolil_265,deed_p0265,unreviewed,beyond manual pass,
dolil_266,deed_p0266,unreviewed,beyond manual pass,
dolil_267,deed_p0267,unreviewed,beyond manual pass,
dolil_268,deed_p0268,unreviewed,beyond manual pass,
dolil_269,deed_p0269,unreviewed,beyond manual pass,
dolil_270,deed_p0270,unreviewed,beyond manual pass,
dolil_271,deed_p0271,unreviewed,beyond manual pass,
dolil_272,deed_p0272,unreviewed,beyond manual pass,
dolil_273,deed_p0273,unreviewed,beyond manual pass,
dolil_274,deed_p0274,unreviewed,beyond manual pass,
dolil_275,deed_p0275,unreviewed,beyond manual pass,
dolil_276,deed_p0276,unreviewed,beyond manual pass,
dolil_277,deed_p0277,unreviewed,beyond manual pass,
dolil_278,deed_p0278,unreviewed,beyond manual pass,
dolil_279,deed_p0279,unreviewed,beyond manual pass,
dolil_280,deed_p0280,unreviewed,beyond manual pass,
dolil_281,deed_p0281,unreviewed,beyond manual pass,
dolil_282,deed_p0282,unreviewed,beyond manual pass,
dolil_283,deed_p0283,unreviewed,beyond manual pass,
dolil_284,deed_p0284,unreviewed,beyond manual pass,
dolil_285,deed_p0285,unreviewed,beyond manual pass,
dolil_286,deed_p0286,unreviewed,beyond manual pass,
dolil_287,deed_p0287,unreviewed,beyond manual pass,
dolil_288,deed_p0288,unreviewed,beyond manual pass,
dolil_289,deed_p0289,unreviewed,beyond manual pass,
dolil_290,deed_p0290,unreviewed,beyond manual pass,
dolil_291,deed_p0291,unreviewed,beyond manual pass,
dolil_292,deed_p0292,unreviewed,beyond manual pass,
dolil_293,deed_p0293,unreviewed,beyond manual pass,
dolil_294,deed_p0294,unreviewed,beyond manual pass,
dolil_295,deed_p0295,unreviewed,beyond manual pass,
dolil_296,deed_p0296,unreviewed,beyond manual pass,
dolil_297,deed_p0297,unreviewed,beyond manual pass,
dolil_298,deed_p0298,unreviewed,beyond manual pass,
dolil_299,deed_p0299,unreviewed,beyond manual pass,
dolil_300,deed_p0300,unreviewed,beyond manual pass,
dolil_301,deed_p0301,unreviewed,beyond manual pass,
dolil_302,deed_p0302,unreviewed,beyond manual pass,
dolil_303,deed_p0303,unreviewed,beyond manual pass,
dolil_304,deed_p0304,unreviewed,beyond manual pass,
dolil_305,deed_p0305,unreviewed,beyond manual pass,
dolil_306,deed_p0306,unreviewed,beyond manual pass,
dolil_307,deed_p0307,unreviewed,beyond manual pass,
dolil_308,deed_p0308,unreviewed,beyond manual pass,
dolil_309,deed_p0309,unreviewed,beyond manual pass,
dolil_310,deed_p0310,unreviewed,beyond manual pass,
dolil_311,deed_p0311,unreviewed,beyond manual pass,
dolil_312,deed_p0312,unreviewed,beyond manual pass,
dolil_313,deed_p0313,unreviewed,beyond manual pass,
dolil_314,deed_p0314,unreviewed,beyond manual pass,
dolil_315,deed_p0315,unreviewed,beyond manual pass,
dolil_316,deed_p0316,unreviewed,beyond manual pass,
dolil_317,deed_p0317,unreviewed,beyond manual pass,
dolil_318,deed_p0318,unreviewed,beyond manual pass,
dolil_319,deed_p0319,unreviewed,beyond manual pass,
dolil_320,deed_p0320,unreviewed,beyond manual pass,
dolil_321,deed_p0321,unreviewed,beyond manual pass,
dolil_322,deed_p0322,unreviewed,beyond manual pass,
dolil_323,deed_p0323,unreviewed,beyond manual pass,
dolil_324,deed_p0324,unreviewed,beyond manual pass,
dolil_325,deed_p0325,unreviewed,beyond manual pass,
dolil_326,deed_p0326,unreviewed,beyond manual pass,
dolil_327,deed_p0327,unreviewed,beyond manual pass,
dolil_328,deed_p0328,unreviewed,beyond manual pass,
dolil_329,deed_p0329,unreviewed,beyond manual pass,
dolil_330,deed_p0330,unreviewed,beyond manual pass,
dolil_331,deed_p0331,unreviewed,beyond manual pass,
dolil_332,deed_p0332,unreviewed,beyond manual pass,
dolil_333,deed_p0333,unreviewed,beyond manual pass,
dolil_334,deed_p0334,unreviewed,beyond manual pass,
dolil_335,deed_p0335,unreviewed,beyond manual pass,
dolil_336,deed_p0336,unreviewed,beyond manual pass,
dolil_337,deed_p0337,unreviewed,beyond manual pass,
dolil_338,deed_p0338,unreviewed,beyond manual pass,
dolil_339,deed_p0339,unreviewed,beyond manual pass,
dolil_340,deed_p0340,unreviewed,beyond manual pass,
dolil_341,deed_p0341,unreviewed,beyond manual pass,
dolil_342,deed_p0342,unreviewed,beyond manual pass,
dolil_343,deed_p0343,unreviewed,beyond manual pass,
dolil_344,deed_p0344,unreviewed,beyond manual pass,
dolil_345,deed_p0345,unreviewed,beyond manual pass,
dolil_346,deed_p0346,unreviewed,beyond manual pass,
dolil_347,deed_p0347,unreviewed,beyond manual pass,
dolil_348,deed_p0348,unreviewed,beyond manual pass,
dolil_349,deed_p0349,unreviewed,beyond manual pass,
dolil_350,deed_p0350,unreviewed,beyond manual pass,
dolil_351,deed_p0351,unreviewed,beyond manual pass,
dolil_352,deed_p0352,unreviewed,beyond manual pass,
dolil_353,deed_p0353,unreviewed,beyond manual pass,
dolil_354,deed_p0354,unreviewed,beyond manual pass,
dolil_355,deed_p0355,unreviewed,beyond manual pass,
dolil_356,deed_p0356,unreviewed,beyond manual pass,
dolil_357,deed_p0357,unreviewed,beyond manual pass,
dolil_358,deed_p0358,unreviewed,beyond manual pass,
dolil_359,deed_p0359,unreviewed,beyond manual pass,
dolil_360,deed_p0360,unreviewed,beyond manual pass,
dolil_361,deed_p0361,unreviewed,beyond manual pass,
dolil_362,deed_p0362,unreviewed,beyond manual pass,
dolil_363,deed_p0363,unreviewed,beyond manual pass,
dolil_364,deed_p0364,unreviewed,beyond manual pass,
dolil_365,deed_p0365,unreviewed,beyond manual pass,
dolil_366,deed_p0366,unreviewed,beyond manual pass,
dolil_367,deed_p0367,unreviewed,beyond manual pass,
dolil_368,deed_p0368,unreviewed,beyond manual pass,
dolil_369,deed_p0369,unreviewed,beyond manual pass,
dolil_370,deed_p0370,unreviewed,beyond manual pass,
dolil_371,deed_p0371,unreviewed,beyond manual pass,
dolil_372,deed_p0372,unreviewed,beyond manual pass,
dolil_373,deed_p0373,unreviewed,beyond manual pass,
dolil_374,deed_p0374,unreviewed,beyond manual pass,
dolil_375,deed_p0375,unreviewed,beyond manual pass,
dolil_376,deed_p0376,unreviewed,beyond manual pass,
dolil_377,deed_p0377,unreviewed,beyond manual pass,
dolil_378,deed_p0378,unreviewed,beyond manual pass,
dolil_379,deed_p0379,unreviewed,beyond manual pass,
dolil_380,deed_p0380,unreviewed,beyond manual pass,
dolil_381,deed_p0381,unreviewed,beyond manual pass,
dolil_382,deed_p0382,unreviewed,beyond manual pass,
dolil_383,deed_p0383,unreviewed,beyond manual pass,
dolil_384,deed_p0384,unreviewed,beyond manual pass,
dolil_385,deed_p0385,unreviewed,beyond manual pass,
dolil_386,deed_p0386,unreviewed,beyond manual pass,
dolil_387,deed_p0387,unreviewed,beyond manual pass,
dolil_388,deed_p0388,unreviewed,beyond manual pass,
dolil_389,deed_p0389,unreviewed,beyond manual pass,
dolil_390,deed_p0390,unreviewed,beyond manual pass,
dolil_391,deed_p0391,unreviewed,beyond manual pass,
dolil_392,deed_p0392,unreviewed,beyond manual pass,
dolil_393,deed_p0393,unreviewed,beyond manual pass,
dolil_394,deed_p0394,unreviewed,beyond manual pass,
dolil_395,deed_p0395,unreviewed,beyond manual pass,
dolil_396,deed_p0396,unreviewed,beyond manual pass,
dolil_397,deed_p0397,unreviewed,beyond manual pass,
dolil_398,deed_p0398,unreviewed,beyond manual pass,
dolil_399,deed_p0399,unreviewed,beyond manual pass,
dolil_400,deed_p0400,unreviewed,beyond manual pass,
dolil_401,deed_p0401,unreviewed,beyond manual pass,
dolil_402,deed_p0402,unreviewed,beyond manual pass,
dolil_403,deed_p0403,unreviewed,beyond manual pass,
dolil_404,deed_p0404,unreviewed,beyond manual pass,
dolil_405,deed_p0405,unreviewed,beyond manual pass,
dolil_406,deed_p0406,unreviewed,beyond manual pass,
dolil_407,deed_p0407,unreviewed,beyond manual pass,
dolil_408,deed_p0408,unreviewed,beyond manual pass,
dolil_409,deed_p0409,unreviewed,beyond manual pass,
dolil_410,deed_p0410,unreviewed,beyond manual pass,
dolil_411,deed_p0411,unreviewed,beyond manual pass,
dolil_412,deed_p0412,unreviewed,beyond manual pass,
dolil_413,deed_p0413,unreviewed,beyond manual pass,
dolil_414,deed_p0414,unreviewed,beyond manual pass,
dolil_415,deed_p0415,unreviewed,beyond manual pass,
dolil_416,deed_p0416,unreviewed,beyond manual pass,
dolil_417,deed_p0417,unreviewed,beyond manual pass,
dolil_418,deed_p0418,unreviewed,beyond manual pass,
dolil_419,deed_p0419,unreviewed,beyond manual pass,
dolil_420,deed_p0420,unreviewed,beyond manual pass,
dolil_421,deed_p0421,unreviewed,beyond manual pass,
dolil_422,deed_p0422,unreviewed,beyond manual pass,
dolil_423,deed_p0423,unreviewed,beyond manual pass,
dolil_424,deed_p0424,unreviewed,beyond manual pass,
dolil_425,deed_p0425,unreviewed,beyond manual pass,
dolil_426,deed_p0426,unreviewed,beyond manual pass,
dolil_427,deed_p0427,unreviewed,beyond manual pass,
dolil_428,deed_p0428,unreviewed,beyond manual pass,
dolil_429,deed_p0429,unreviewed,beyond manual pass,
dolil_430,deed_p0430,unreviewed,beyond manual pass,
dolil_431,deed_p0431,unreviewed,beyond manual pass,
dolil_432,deed_p0432,unreviewed,beyond manual pass,
dolil_433,deed_p0433,unreviewed,beyond manual pass,
dolil_434,deed_p0434,unreviewed,beyond manual pass,
dolil_435,deed_p0435,unreviewed,beyond manual pass,
dolil_436,deed_p0436,unreviewed,beyond manual pass,
dolil_437,deed_p0437,unreviewed,beyond manual pass,
dolil_438,deed_p0438,unreviewed,beyond manual pass,
dolil_439,deed_p0439,unreviewed,beyond manual pass,
dolil_440,deed_p0440,unreviewed,beyond manual pass,
dolil_441,deed_p0441,unreviewed,beyond manual pass,
dolil_442,deed_p0442,unreviewed,beyond manual pass,
dolil_443,deed_p0443,unreviewed,beyond manual pass,
dolil_444,deed_p0444,unreviewed,beyond manual pass,
dolil_445,deed_p0445,unreviewed,beyond manual pass,
dolil_446,deed_p0446,unreviewed,beyond manual pass,
dolil_447,deed_p0447,unreviewed,beyond manual pass,
dolil_448,deed_p0448,unreviewed,beyond manual pass,
dolil_449,deed_p0449,unreviewed,beyond manual pass,
dolil_450,deed_p0450,unreviewed,beyond manual pass,
dolil_451,deed_p0451,unreviewed,beyond manual pass,
dolil_452,deed_p0452,unreviewed,beyond manual pass,
dolil_453,deed_p0453,unreviewed,beyond manual pass,
dolil_454,deed_p0454,unreviewed,beyond manual pass,
dolil_455,deed_p0455,unreviewed,beyond manual pass,
dolil_456,deed_p0456,unreviewed,beyond manual pass,
dolil_457,deed_p0457,unreviewed,beyond manual pass,
dolil_458,deed_p0458,unreviewed,beyond manual pass,
dolil_459,deed_p0459,unreviewed,beyond manual pass,
dolil_460,deed_p0460,unreviewed,beyond manual pass,
dolil_461,deed_p0461,unreviewed,beyond manual pass,
dolil_462,deed_p0462,unreviewed,beyond manual pass,
dolil_463,deed_p0463,unreviewed,beyond manual pass,
dolil_464,deed_p0464,unreviewed,beyond manual pass,
dolil_465,deed_p0465,unreviewed,beyond manual pass,
dolil_466,deed_p0466,unreviewed,beyond manual pass,
dolil_467,deed_p0467,unreviewed,beyond manual pass,
dolil_468,deed_p0468,unreviewed,beyond manual pass,
dolil_469,deed_p0469,unreviewed,beyond manual pass,
dolil_470,deed_p0470,unreviewed,beyond manual pass,
dolil_471,deed_p0471,unreviewed,beyond manual pass,
dolil_472,deed_p0472,unreviewed,beyond manual pass,
dolil_473,deed_p0473,unreviewed,beyond manual pass,
dolil_474,deed_p0474,unreviewed,beyond manual pass,
dolil_475,deed_p0475,unreviewed,beyond manual pass,
dolil_476,deed_p0476,unreviewed,beyond manual pass,
dolil_477,deed_p0477,unreviewed,beyond manual pass,
dolil_478,deed_p0478,unreviewed,beyond manual pass,
dolil_479,deed_p0479,unreviewed,beyond manual pass,
dolil_480,deed_p0480,unreviewed,beyond manual pass,
dolil_481,deed_p0481,unreviewed,beyond manual pass,
dolil_482,deed_p0482,unreviewed,beyond manual pass,
dolil_483,deed_p0483,unreviewed,beyond manual pass,
dolil_484,deed_p0484,unreviewed,beyond manual pass,
dolil_485,deed_p0485,unreviewed,beyond manual pass,
dolil_486,deed_p0486,unreviewed,beyond manual pass,
dolil_487,deed_p0487,unreviewed,beyond manual pass,
dolil_488,deed_p0488,unreviewed,beyond manual pass,
dolil_489,deed_p0489,unreviewed,beyond manual pass,
dolil_490,deed_p0490,unreviewed,beyond manual pass,
dolil_491,deed_p0491,unreviewed,beyond manual pass,
dolil_492,deed_p0492,unreviewed,beyond manual pass,
dolil_493,deed_p0493,unreviewed,beyond manual pass,
dolil_494,deed_p0494,unreviewed,beyond manual pass,
dolil_495,deed_p0495,unreviewed,beyond manual pass,
dolil_496,deed_p0496,unreviewed,beyond manual pass,
dolil_497,deed_p0497,unreviewed,beyond manual pass,
dolil_498,deed_p0498,unreviewed,beyond manual pass,
dolil_499,deed_p0499,unreviewed,beyond manual pass,
dolil_500,deed_p0500,unreviewed,beyond manual pass,
dolil_501,deed_p0501,unreviewed,beyond manual pass,
dolil_502,deed_p0502,unreviewed,beyond manual pass,
dolil_503,deed_p0503,unreviewed,beyond manual pass,
dolil_504,deed_p0504,unreviewed,beyond manual pass,
dolil_505,deed_p0505,unreviewed,beyond manual pass,
dolil_506,deed_p0506,unreviewed,beyond manual pass,
dolil_507,deed_p0507,unreviewed,beyond manual pass,
dolil_508,deed_p0508,unreviewed,beyond manual pass,
dolil_509,deed_p0509,unreviewed,beyond manual pass,
dolil_510,deed_p0510,unreviewed,beyond manual pass,
dolil_511,deed_p0511,unreviewed,beyond manual pass,
dolil_512,deed_p0512,unreviewed,beyond manual pass,
dolil_513,deed_p0513,unreviewed,beyond manual pass,
dolil_514,deed_p0514,unreviewed,beyond manual pass,
dolil_515,deed_p0515,unreviewed,beyond manual pass,
dolil_516,deed_p0516,unreviewed,beyond manual pass,
dolil_517,deed_p0517,unreviewed,beyond manual pass,
dolil_518,deed_p0518,unreviewed,beyond manual pass,
dolil_519,deed_p0519,unreviewed,beyond manual pass,
dolil_520,deed_p0520,unreviewed,beyond manual pass,
dolil_521,deed_p0521,unreviewed,beyond manual pass,
dolil_522,deed_p0522,unreviewed,beyond manual pass,
dolil_523,deed_p0523,unreviewed,beyond manual pass,
